City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
26,iqaluit,63.7506,-68.5145,-25.149999999999977,70,75,3.6,CA,1706971979
27,bredasdorp,-34.5322,20.0403,25.08000000000004,72,98,6.97,ZA,1706971979
28,vorgashor,67.5833,63.95,-18.599999999999966,92,100,4.51,RU,1706971980
29,copala,16.65,-98.9833,26.189999999999998,67,0,1.73,MX,1706971980
30,ducheng,23.2373,111.5317,18.24000000000001,87,91,1.24,CN,1706971980
31,papatowai,-46.5619,169.4708,10.840000000000032,68,99,5.43,NZ,1706971980
32,udachny,66.4167,112.4,-30.589999999999975,89,94,1.26,RU,1706971981
33,ca mau,9.1769,105.15,23.810000000000002,85,9,1.06,VN,1706971981
34,puerto ayora,-0.7393,-90.3518,28.980000000000018,81,63,4.3,EC,1706971981
35,ak-suu,42.4995,78.527,-9.159999999999968,53,96,3.62,KG,1706971981
36,saipan,15.1355,145.701,26.390000000000043,73,20,8.75,MP,1706971982
37,dhamar,14.5427,44.4051,17.090000000000032,58,28,3.79,YE,1706971982
38,nagqu,31.5,92.0,-11.359999999999957,18,48,4.23,CN,1706971982
39,stanley,54.868,-1.6985,10.439999999999998,70,40,8.23,GB,1706971982
40,bethel,41.3712,-73.414,1.920000000000016,62,0,6.69,US,1706971739
41,saint-francois,46.4154,3.9054,5.689999999999998,93,100,1.03,FR,1706971983
42,waingapu,-9.6567,120.2641,26.950000000000045,86,99,3.3,ID,1706971983
43,devrek,41.2192,31.9558,7.470000000000027,85,56,1.11,TR,1706971983
44,georgetown,5.4112,100.3354,28.970000000000027,78,20,2.68,MY,1706971743
45,luena,-11.7833,19.9167,28.100000000000023,57,100,2.57,AO,1706971984
46,longyearbyen,78.2186,15.6401,-10.089999999999975,73,20,6.17,SJ,1706971984
47,chulakkurgan,43.765,69.1814,-5.229999999999961,72,100,2.29,KZ,1706971984
48,edinburgh of the seven seas,-37.0676,-12.3116,16.480000000000018,76,44,9.93,SH,1706971985
49,ambovombe,-25.1667,46.0833,25.99000000000001,67,12,9.4,MG,1706971985
50,banda aceh,5.5577,95.3222,26.370000000000005,80,57,2.67,ID,1706971985
51,hithadhoo,-0.6,73.0833,28.600000000000023,76,100,3.34,MV,1706971985
52,sabang,5.8933,95.3214,27.950000000000045,74,33,4.63,ID,1706971986
53,weno,7.4515,151.8468,24.970000000000027,100,100,2.06,FM,1706971986
54,lihue,21.9789,-159.3672,20.77000000000004,57,100,10.29,US,1706971740
55,olonkinbyen,70.9221,-8.7187,-5.569999999999993,67,100,9.13,SJ,1706971986
56,hermanus,-34.4187,19.2345,26.560000000000002,64,77,8.53,ZA,1706971986
57,salinopolis,-0.6136,-47.3561,28.82000000000005,68,61,2.48,BR,1706971987
58,westport,41.1415,-73.3579,2.640000000000043,62,20,5.14,US,1706971870
59,bilibino,68.0546,166.4372,-27.289999999999964,75,0,3.37,RU,1706971987
60,trinidad,-14.8333,-64.9,29.99000000000001,74,20,1.03,BO,1706971987
61,jamestown,42.097,-79.2353,-0.22999999999996135,83,19,1.34,US,1706971881
62,tiksi,71.6872,128.8694,-35.23999999999998,100,100,2.13,RU,1706971988
63,punta arenas,-53.15,-70.9167,11.060000000000002,66,75,6.69,CL,1706971988
64,atafu village,-8.5421,-172.5159,28.79000000000002,76,100,8.71,TK,1706971988
65,mejit,10.2753,170.8646,26.5,78,41,9.37,MH,1706971989
66,samarinda,-0.5,117.15,24.170000000000016,93,100,1.02,ID,1706971989
67,puerto natales,-51.7236,-72.4875,13.25,50,20,8.75,CL,1706971715
